model,requested_model,provider,transport,arm,task,tier,replicate,status,cir_accepted,code_accepted,accepted,accepted_with_proof,first_cir_pass_round,first_code_accept_round,cir_repairs,code_repairs,first_accept_total_candidate_rounds,calls,input_tokens,output_tokens,total_tokens,latency_ms,error
Mimo,mimo-v2.5,xiaomi,opencode-go,G3,atomic-data/atomic_lost_update,Medium,0,error,,,,,,,,,,1,0,0,0,557023,APIConnectionError: Connection error.
Mimo,mimo-v2.5,xiaomi,opencode-go,G3,atomic-data/bounded_counter_invariant,Simple,0,accepted,True,True,True,False,1,1,0,0,2,2,3255,4729,7984,148988,
Mimo,mimo-v2.5,xiaomi,opencode-go,G3,atomic-data/counter_overflow_safety,Simple,0,error,,,,,,,,,,1,0,0,0,556831,APIConnectionError: Connection error.
Mimo,mimo-v2.5,xiaomi,opencode-go,G3,channel/bounded_backpressure_lock_held,Medium,0,error,,,,,,,,,,1,0,0,0,557220,APIConnectionError: Connection error.
Mimo,mimo-v2.5,xiaomi,opencode-go,G3,channel/rendezvous_both_send,Simple,0,error,,,,,,,,,,2,1725,1723,3448,588243,APIConnectionError: Connection error.
Mimo,mimo-v2.5,xiaomi,opencode-go,G3,channel/send_while_holding_mutex,Simple,0,error,,,,,,,,,,1,0,0,0,558185,APIConnectionError: Connection error.
