model,provider,transport,requested_model,returned_model,status,identity_confirmed,input_tokens,output_tokens,total_tokens,usage_source,latency_ms,error
DeepSeek Flash,deepseek,deepseek-direct,deepseek-flash,deepseek-flash,ok,True,28,3,31,server,862,
Qwen,qwen,dashscope-direct,qwen3.8-flash,,error,,,,,,,"AuthenticationError: Error code: 401 - {'error': {'message': 'Incorrect API key provided. For details, see: https://help.aliyun.com/zh/model-studio/error-code#apikey-error', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}, 'request_id': '9da1bc23-d512-92ce-9a6d-0dc45928e08a'}"
Composer 2.5,cursor,cursor,composer-2.5,composer-2.5,ok,True,3519,42,3977,server,20234,
Kimi,moonshot,opencode-go,kimi-k3,kimi-k3,ok,True,119,53,172,server,44317,
GLM,zhipu,opencode-go,glm-5.3-flash,glm-5.3-flash,ok,True,36,47,83,server,17042,
GPT 6 Luna,openai,opencode-go,gpt-6-luna,gpt-6-luna,ok,True,33,17,50,server,1840,
Grok 4.7,xai,opencode-go,grok-4.7,grok-4.7,ok,True,1269,60,1329,server,2998,
Mimo,xiaomi,opencode-go,mimo-v2.5,mimo-v2.5,ok,True,34,64,98,server,3684,
