model,provider,transport,requested_model,returned_model,status,identity_confirmed,input_tokens,output_tokens,total_tokens,usage_source,latency_ms,error
DeepSeek Flash,deepseek,deepseek-direct,deepseek-flash,deepseek-flash,ok,True,28,3,31,server,1167,
Qwen,qwen,dashscope-direct,qwen3.8-flash,,error,,,,,,,NameError: name 'CHANNELS' is not defined
Composer 2.5,cursor,cursor,composer-2.5,composer-2.5,ok,True,3502,36,3954,server,19173,
Kimi,moonshot,opencode-go,kimi-k3,kimi-k3,ok,True,119,53,172,server,4334,
GLM,zhipu,opencode-go,glm-5.3-flash,glm-5.3-flash,ok,True,36,38,74,server,2196,
GPT 6 Luna,openai,opencode-go,gpt-6-luna,gpt-6-luna,ok,True,33,7,40,server,2010,
Grok 4.7,xai,opencode-go,grok-4.7,grok-4.7,ok,True,1269,82,1351,server,4622,
Mimo,xiaomi,opencode-go,mimo-v2.5,mimo-v2.5,ok,True,34,42,76,server,5595,
