model,provider,transport,requested_model,returned_model,status,identity_confirmed,input_tokens,output_tokens,total_tokens,usage_source,latency_ms,error
DeepSeek Flash,deepseek,deepseek-direct,deepseek-flash,deepseek-flash,ok,True,28,3,31,server,1333,
Kimi,moonshot,opencode-go,kimi-k3,kimi-k3,ok,True,119,53,172,server,3168,
GLM,zhipu,opencode-go,glm-5.3-flash,glm-5.3-flash,ok,True,36,39,75,server,1592,
GPT 6 Luna,openai,opencode-go,gpt-6-luna,gpt-6-luna,ok,True,33,7,40,server,2001,
Grok 4.7,xai,opencode-go,grok-4.7,grok-4.7,ok,True,1269,396,1665,server,6686,
Mimo,xiaomi,opencode-go,mimo-v2.5,mimo-v2.5,ok,True,34,64,98,server,8145,
