model,provider,transport,requested_model,returned_model,status,identity_confirmed,input_tokens,output_tokens,total_tokens,usage_source,latency_ms,error
DeepSeek Flash,deepseek,deepseek-direct,deepseek-flash,deepseek-flash,ok,True,28,3,31,server,1146,
Kimi,moonshot,opencode-go,kimi-k3,kimi-k3,ok,True,122,59,181,server,2593,
GLM,zhipu,opencode-go,glm-5.3-flash,glm-5.3-flash,ok,True,36,35,71,server,1671,
GPT 6 Luna,openai,opencode-go,gpt-6-luna,,error,,,,,,,"BadRequestError: Error code: 400 - {'type': 'error', 'error': {'type': 'ModelProtocolUnsupported', 'message': 'Model does not support this protocol.'}}"
Grok 4.7,xai,opencode-go,grok-4.7,,error,,,,,,,"BadRequestError: Error code: 400 - {'type': 'error', 'error': {'type': 'ModelProtocolUnsupported', 'message': 'Model does not support this protocol.'}}"
Mimo,xiaomi,opencode-go,mimo-v2.5,mimo-v2.5,ok,True,34,64,98,server,4428,
