suite,case,family,strategy,repeat,config_name,config,raw_outcome,final_classification,stop_reason,truncation,saw_unknown,root_outcome,proposals,unique_programs,verification_calls,cache_hits,states_explored,nodes,patch_len,accepted_chain_len,exit_code,wall_ms,replay_exit,replay_wall_ms,replay_ok,model_sha256,contract_sha256,binary_sha256,source_id,artifact_path,reused_from_previous
pilot,p1_same,one_defect,b,1,main,"{""candidate_budget"":64,""max_depth"":4,""max_total_edits"":4,""verification_budget"":64}",repaired,repaired,solved,,False,FAIL,1,2,2,0,92,2,1,1,0,8,0,5,True,0dbff9d6f59e1ba381a8c33531742644fc6223ad8a2f07cebb947dac875db341,ae33c92e15daa342c4db81578e81d5a132a3ac24c6eea22cf88ae0c3b49407ac,65a8f633f986e890d2e4256700db3ab62c1ee3b69418af30e61531b3c96b62c6,e8480c4a54840e68d7cf3a62c5075e4fc02e6966+dirty:e3b0c44298fc,/private/tmp/concir-pilot-audit/runner_cases/raw/pilot/p1_same__main__b__r1/artifact.json,False
pilot,p1_same,one_defect,b,1,main,"{""candidate_budget"":0,""max_depth"":4,""max_total_edits"":4,""verification_budget"":64}",repaired,repaired,solved,,False,FAIL,1,2,2,0,92,2,1,1,2,1,0,4,True,0dbff9d6f59e1ba381a8c33531742644fc6223ad8a2f07cebb947dac875db341,ae33c92e15daa342c4db81578e81d5a132a3ac24c6eea22cf88ae0c3b49407ac,65a8f633f986e890d2e4256700db3ab62c1ee3b69418af30e61531b3c96b62c6,e8480c4a54840e68d7cf3a62c5075e4fc02e6966+dirty:e3b0c44298fc,/private/tmp/concir-pilot-audit/runner_cases/raw/pilot/p1_same__main__b__r1/artifact.json,False
