model,provider,transport,requested_model,returned_model,status,identity_confirmed,input_tokens,output_tokens,total_tokens,usage_source,latency_ms,error
DeepSeek Flash,deepseek,deepseek-direct,deepseek-flash,deepseek-flash,ok,True,28,3,31,server,938,
Qwen,qwen,dashscope-direct,qwen3.8-flash,qwen3.8-flash,ok,True,76,38,114,server,1128,
Composer 2.5,cursor,cursor,composer-2.5,composer-2.5,ok,True,3571,37,4024,server,13454,
Kimi,moonshot,opencode-go,kimi-k3,kimi-k3,ok,True,122,62,184,server,1904,
GLM,zhipu,opencode-go,glm-5.3-flash,glm-5.3-flash,ok,True,36,35,71,server,2354,
GPT 6 Luna,openai,opencode-go,gpt-6-luna,gpt-6-luna,ok,True,33,17,50,server,2277,
Grok 4.7,xai,opencode-go,grok-4.7,grok-4.7,ok,True,1269,50,1319,server,2173,
Mimo,xiaomi,opencode-go,mimo-v2.5,mimo-v2.5,ok,True,34,64,98,server,7131,
